Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std
2015-09-03 15:25:00	2015-09-03 15:35:00	11.9110373713919	2.4481905562753146	10.41585367494466	-5.233254414925489	104.813	-1.303	6.158	-1.642	0.0014868438960786	0.0135145549220876	0.0165550905634378	0.1313771483633766	-0.0024186705589968	-0.0061315099224482	0.0060117773045576	0.0256010464147849	0.1216963442966837	-0.0050489880464536	0.0724217409170964	0.0883753520562335	0.0792444632285458	0.0503365291998863	0.0303975215763797	-11.738377	23.173784	14.230571	39.81223	-11.619512	23.294863	13.952155	38.43179	16.517979	11.180441	18.84388	6.7266045
2015-09-03 16:20:00	2015-09-03 16:30:00	11.986395048680116	1.9718141586935365	10.7432536270146	-4.936167521957189	67.014	-0.125	6.607	2.823	-0.0307123478325157	-0.0079610763366115	-0.026309122439235	0.0948280108556408	0.004614673232871	-0.0589579095527602	-0.0112907294559685	-0.0411325984391378	0.0882173110908128	0.0058437865661455	0.061501303336924	0.0410669942250647	0.0462881599037911	0.0178310796254379	0.012053232835832	-15.476614	23.303951	19.889015	34.703773	-14.90703	23.248146	18.162008	34.8237	3.3605556	4.2100687	6.261769	6.4844875
2015-09-03 16:50:00	2015-09-03 17:00:00	11.987356655569563	1.7036227407550983	10.87780637107551	-4.7397601291716045	72.993	2.4	6.92	2.138	0.0083578542567348	-0.0082376244691125	0.0102261134014726	0.1150074887695806	-0.003030664502748	-0.0029986211302672	-0.0116308992673519	0.0229155292466411	0.1012112939425644	-0.0041351549402241	0.0741028571510578	0.0772030675100937	0.0670410163108485	0.0544206582631553	0.0186160568958566	-15.951697	23.695698	24.460617	39.386574	-15.293082	24.850643	24.362232	39.081253	7.2395635	5.5142145	9.19067	5.4998617
2015-09-03 17:45:00	2015-09-03 17:55:00	11.91554023888235	1.199694487717024	11.030413834777477	-4.343786893812937	89.431	-2.748	6.66	0.053	-0.0008154270621842	0.0089652621148504	0.0071975982585355	0.1179575487368255	0.0055995976052346	0.0132444570361797	0.0092846047750031	0.0075737664047767	0.1124833798402782	0.008587704481263	0.0434375173808502	0.0287658492457798	0.1076512018247118	0.0228459234026525	0.0151342510191823	14.019154	6.080617	34.49498	39.274048	15.913747	7.3075833	32.80687	37.35858	7.5937963	7.476722	7.712534	7.349403
2015-09-05 15:50:00	2015-09-05 16:00:00	11.973997931520024	2.480913082727764	10.514904153657437	-5.162964000031947	118.608	-1.828	4.957	-2.707	-0.0092868622274411	0.058398265691362	-0.1140745505720569	0.1284897129501313	0.0067346187354785	-0.0092868622274411	0.058398265691362	-0.1140745505720569	0.1284897129501313	0.0067346187354785	0.0	0.0	0.0	0.0	0.0	7.402433	1.309396	3.7270896	8.390574	7.402433	1.309396	3.7270896	8.390574	0.0	0.0	0.0	0.0
2015-09-06 13:25:00	2015-09-06 13:35:00	11.525616776243794	3.7576584746979615	9.37701856917685	-5.548841354218116	108.298	-1.14	7.533	-2.5	0.0141847400131233	0.0304151901197961	0.0295788593461465	0.1116964883913442	-0.003468095281663	0.0252367711293868	0.0711936604443873	0.0348413983667565	0.1055707379256817	-0.0014122761218801	0.0408560327763828	0.0789350624592397	0.0587497150023821	0.0296071368601348	0.0141792096054581	4.101904	24.394693	16.796024	32.559162	-0.22699684	25.575459	15.866959	33.345	9.399235	4.866848	7.8352084	2.712281
2015-09-07 16:30:00	2015-09-07 16:40:00	11.98290367013083	2.3730602399570864	10.644452760837313	-4.96506066492527	130.728	-1.743	7.758	-6.693	0.0067127054470886	-0.0203743323581091	0.0400631121032271	0.0775463594132083	-0.0001581373575049	-0.0039540192376456	-0.039067137592592	0.0412748740857729	0.0769444222094065	-0.0016441060117208	0.0364390030897003	0.0481654339597267	0.0173979178431444	0.0014786637846789	0.0116252859115964	-29.472353	30.767593	-20.566422	48.067303	-29.15429	33.546524	-24.093353	47.403553	0.8043383	5.54507	6.856221	2.4858513
2015-09-08 15:40:00	2015-09-08 15:50:00	11.980890246022971	2.937193018331062	10.348024278180544	-5.275487904035092	68.287	13.675	10.477	4.125	0.0091972657765214	-0.0062106622974581	0.0026106308634653	0.1121897946317538	-0.0011555000958381	0.0056277683427454	-0.0207770865946513	-0.0089754636918438	0.1041408200266389	-0.0020650417651774	0.0507414053202283	0.0713995789399999	0.080088709839327	0.0403759696891123	0.0234831779340478	2.9801662	28.182774	35.21084	46.26999	3.0421052	29.182692	35.988556	48.080223	6.055754	7.6657953	8.050609	7.8924203
2015-09-08 16:10:00	2015-09-08 16:20:00	11.9879808009899	2.674467042641401	10.510561867471084	-5.107315377996922	64.78	13.322	10.38	4.89	0.0055023334965899	-0.0045056449789084	0.0040478354589885	0.0954477859710574	-0.0007411732839652	0.0045892558075194	-0.0062197165233416	0.0228827569566472	0.0880516469533729	-6.758642509493762e-06	0.0549282691604298	0.0543449576290791	0.0613260225927547	0.026230742563336	0.0191676386702476	-1.0702368	29.09685	34.48099	45.601894	-0.65712154	29.660362	34.163727	46.379005	4.708383	5.6006603	6.9752584	7.705083
2015-09-08 16:40:00	2015-09-08 16:50:00	11.966775808414935	2.4040206756743987	10.642426458873013	-4.915363536385163	60.301	13.217	10.157	5.797	-0.0149693489472727	-0.0007656206797771	-0.0066166559126143	0.1039753485454458	-0.0045978689503556	-0.0110565738117653	-0.0123763673118517	-0.0316585033150792	0.0948316088377181	-0.0037710936857852	0.0629237221622126	0.0591350146767846	0.0636157712401688	0.030998156966211	0.0158427336057792	-0.80011725	28.008469	40.275295	49.387928	-1.6469601	29.359821	41.938377	51.52064	3.9678946	6.1895914	8.15777	9.415451
