Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std
2015-09-02 13:45:00	2015-09-02 13:55:00	11.487202103919726	3.12857282551756	9.627082914948067	-5.430037168955223	289.894	3.627	-2.463	0.912	-0.0050677483112055	0.0073481607518434	0.0043222973834549	0.1005996664354935	0.0016995833345	-0.0078348117009062	-0.0020896513904162	0.0378069197844483	0.0942298441269984	-0.0004089859427527	0.0340884955735541	0.0518056791288708	0.0827794749012842	0.0260069662306698	0.0184558951109939	8.955496	17.86951	33.29708	41.117237	7.3167343	21.014545	34.720516	41.929825	8.774725	9.334366	6.648841	5.0913486
2015-09-10 13:15:00	2015-09-10 13:25:00	11.612032741916943	4.31887934626944	9.19232140334505	-5.629043776461263	266.773	-7.77	-2.152	-0.032	-0.0062317200411008	-0.0066474811214908	-0.0099211757785742	0.1418476506618014	0.0016095101344153	-0.0100792311125621	-0.0129801170644825	-0.0157506649260404	0.1325416576107966	0.0072387104263482	0.0861763601338007	0.0793469674642212	0.0937175921401691	0.0506556061923844	0.0358215240797804	-1.1453485	1.7813724	8.67547	19.528788	-0.40232852	1.9971817	9.166358	17.7519	12.170477	9.710694	11.758823	8.891759
2015-09-10 14:20:00	2015-09-10 14:30:00	11.863105400476712	3.8426358953488897	9.727483215224233	-5.59835425884688	257.378	-4.545	-5.767	-1.267	0.0039068956043414	-0.0022221565682285	-0.0091462742309374	0.1203578158128439	-0.0003196665200982	-0.0053875830367865	-0.025499115065255	-0.0118810134567234	0.11359872467113	-0.0015007495943455	0.049784447663893	0.0883016973460602	0.0748227207447112	0.0386260642724723	0.0315662256969127	4.858966	-22.647512	-15.548709	30.270592	5.047981	-24.410423	-16.31394	32.18119	7.254686	7.5666194	9.552787	7.944382
2015-09-19 07:35:00	2015-09-19 07:45:00	8.791429079148957	6.335325971110375	5.345569967181464	-2.9282710588900858	232.695	2.952	-6.687	-5.168	-0.1342139723631699	0.1672562104217785	-0.126685053610632	0.4606610041388126	0.0150095662158407	-0.1266195185269847	0.2102963118116664	-0.1813938278802306	0.4328001524718821	0.0182468857456298	0.2471793584355461	0.250028190341846	0.2088617145053989	0.130627406636842	0.1264148288959747	6.9461775	-21.763716	-7.4285703	36.350197	6.3786044	-22.896055	-7.0803075	38.238907	14.113177	19.349371	19.183414	14.047755
2015-09-19 08:05:00	2015-09-19 08:15:00	9.254946248251066	6.406695940918008	5.782269059420404	-3.3422993142797623	247.23	2.373	-8.46	-3.525	-0.0079778875217458	0.0889177676154846	0.029801260619649	0.238892136574493	-0.0119078637565532	0.0094526621302722	0.1366589710923668	0.0450257175253737	0.1980798724155388	-0.008398190685807	0.0719757538275979	0.2169139395617244	0.1012884432409552	0.1194997629865416	0.06064755448632	-0.5014546	-50.1043	-24.675104	58.32123	0.2091424	-49.514133	-24.919952	58.155045	11.286183	7.746881	11.386704	5.93603
2015-09-19 09:00:00	2015-09-19 09:10:00	9.991783318251905	6.436977435597034	6.486245325541248	-4.040724957174306	256.802	1.25	-7.892	-1.9	-0.1060519281989225	0.1203608521218111	-0.0491295822596842	0.3533658987602543	0.0074871106393669	-0.1280954884103807	0.1611358004970869	-0.0198751684266505	0.3436503741808606	0.0042481825795178	0.2101633370006464	0.212313749054451	0.1627108100717735	0.1378425464636486	0.1039793766649718	15.654538	-2.0117774	11.809792	38.30248	13.878217	-1.2939565	11.093035	38.22135	12.660896	30.141197	14.241314	13.896349
2015-09-19 09:30:00	2015-09-19 09:40:00	10.337459038602326	6.40667794864741	6.8282346345001805	-4.380723381724979	261.331	1.278	-7.832	-1.2	-0.1158907294045851	0.1491675455330651	-0.0807935283599672	0.3790477633976077	0.0068598277643805	-0.1221288227690903	0.1553746784649243	-0.0918068866119863	0.3231130235882123	0.0033079828890915	0.1709070356140469	0.2315723019393768	0.2009927227130919	0.1475297445328053	0.0806604485749987	15.156169	-23.131905	-2.356497	43.572212	10.559052	-26.644352	-8.717993	45.414246	17.992157	18.093634	26.273623	14.601722
2015-09-22 13:20:00	2015-09-22 13:30:00	11.921054246768586	5.733398571324578	8.779453650084141	-5.67091018521171	274.292	4.08	-3.912	0.277	0.0198033457724629	-0.0189496417106481	0.000722930499883	0.1114022694321619	0.0021877029772916	0.0245808760425903	-0.0418459548372264	0.0074678879381436	0.0998367368557578	0.0027032889668994	0.0661694668538015	0.07185286317438	0.0621447366445243	0.0417674394870828	0.0158088153738097	12.790284	-19.404345	-3.7448628	24.894848	12.69787	-18.761372	-2.5144343	25.255379	4.101894	4.4911003	7.579963	5.370459
2015-09-22 13:50:00	2015-09-22 14:00:00	11.971585338691604	5.516444426278468	8.996030813364007	-5.653084757847782	288.886	4.768	-3.267	1.103	-0.0025984584407146	0.0020426966997016	0.0093995081454093	0.0934805821943102	-0.0005427746371152	0.0042092965687128	0.0384430415667616	0.0540131183647624	0.0854595202610385	-0.0018972981958351	0.0173411595253761	0.0574818203041574	0.0752932112685095	0.0251912533303114	0.0108711980764742	0.6003334	21.28653	26.56324	34.878654	-0.3781274	20.90401	27.033598	34.619545	5.2763267	5.1970897	4.528292	4.232844
2015-09-22 14:20:00	2015-09-22 14:30:00	11.993726881609248	5.283534868945746	9.198937376896303	-5.595659968763084	274.657	4.14	-1.87	0.178	-0.0159217327824263	-0.0093890923216016	-0.0369379495807714	0.0781646604595414	-0.0079166069371887	-0.0085592992327292	-0.022966083070718	-0.0582679658597839	0.0798432517082284	-0.0009687671682589	0.0209298599678435	0.0361057089484307	0.0518024097082696	0.0046395595071644	0.0126987955148844	4.683429	12.719311	27.316494	30.732115	4.3481684	13.515278	27.955635	32.0072	1.8121334	3.0073402	3.6448348	3.3250613
2015-09-23 13:50:00	2015-09-23 14:00:00	11.977825975410417	5.632399181649859	8.942048465341392	-5.637588589310411	312.52	6.992	-3.957	3.622	-0.0048694575124472	-0.0085961019211333	-0.0198476230480216	0.1126414331666995	-0.0022671589570791	-0.0040569280214804	-0.0173021804745791	-0.0669296620516782	0.1014171428670901	0.000798323624414	0.0358497236324762	0.0506708025157183	0.0988528143023061	0.0377895761700291	0.0146445161999675	9.560099	18.307728	35.502876	41.85986	8.413537	18.914114	35.331554	41.491714	5.4315095	5.4777102	4.3714724	3.659298
2015-09-23 23:15:00	2015-09-23 23:25:00	6.86126298770125	-0.805584772469878	6.418244236692409	-2.2868603084947376	301.678	-0.2	-5.71	3.508	0.0005257517616555	-0.0627336979806981	0.0361722050070656	0.072416998642042	0.0058192629950123	0.0005257517616555	-0.0627336979806981	0.0361722050070656	0.072416998642042	0.0058192629950123	0.0	0.0	0.0	0.0	0.0	-21.008095	93.97314	47.977905	107.58331	-21.008095	93.97314	47.977905	107.58331	0.0	0.0	0.0	0.0
