Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2015-09-01 00:25:00	2015-09-01 00:35:00	270.271	3.502	-3.098	-0.695	40.643	362.433
2015-09-01 08:55:00	2015-09-01 09:05:00	284.483	1.962	-4.507	-1.303	66.214	359.017
2015-09-01 10:50:00	2015-09-01 11:00:00	260.121	3.143	-2.798	-2.588	51.278	351.183
2015-09-01 12:45:00	2015-09-01 12:55:00	299.448	3.513	-4.352	-0.078	48.649	347.9
2015-09-01 19:30:00	2015-09-01 19:40:00	251.441	3.822	-2.687	-1.81	40.651	362.967
2015-09-01 20:00:00	2015-09-01 20:10:00	265.987	3.642	-3.177	-1.057	41.906	360.1
2015-09-02 13:45:00	2015-09-02 13:55:00	289.894	3.627	-2.595	-0.412	35.103	394.883
2015-09-03 21:25:00	2015-09-03 21:35:00	309.224	0.765	-7.853	3.835	82.028	413.583
2015-09-07 10:10:00	2015-09-07 10:20:00	302.859	-2.713	-5.968	-0.02	67.349	488.567
2015-09-10 00:40:00	2015-09-10 00:50:00	270.522	-5.772	-2.487	-0.578	26.378	446.183
2015-09-10 09:25:00	2015-09-10 09:35:00	301.832	2.05	-5.762	-0.018	67.675	413.683
2015-09-10 09:55:00	2015-09-10 10:05:00	298.924	1.463	-6.213	-0.387	73.902	411.8
2015-09-10 13:15:00	2015-09-10 13:25:00	266.773	-7.77	-1.835	-1.13	17.071	430.533
2015-09-10 14:20:00	2015-09-10 14:30:00	257.378	-4.545	-4.437	-3.897	52.182	435.567
2015-09-12 14:25:00	2015-09-12 14:35:00	290.949	-3.135	-1.335	-0.178	25.344	537.3
2015-09-16 07:45:00	2015-09-16 07:55:00	237.762	-3.8	-1.168	-1.967	30.437	476.3
2015-09-16 11:15:00	2015-09-16 11:25:00	230.094	-3.472	-0.897	-2.875	38.655	473.45
2015-09-19 07:35:00	2015-09-19 07:45:00	232.695	2.952	-3.215	-7.817	72.089	422.867
2015-09-19 08:05:00	2015-09-19 08:15:00	247.23	2.373	-5.465	-7.36	75.502	420.5
2015-09-19 09:00:00	2015-09-19 09:10:00	256.802	1.25	-5.678	-5.795	80.278	414.233
2015-09-19 09:30:00	2015-09-19 09:40:00	261.331	1.278	-5.96	-5.223	79.347	413.533
2015-09-22 13:20:00	2015-09-22 13:30:00	274.292	4.08	-3.495	-1.773	42.522	605.717
2015-09-22 13:50:00	2015-09-22 14:00:00	288.886	4.768	-3.38	-0.685	33.115	598.7
2015-09-22 14:20:00	2015-09-22 14:30:00	274.657	4.14	-1.722	-0.75	23.009	607.8
2015-09-23 13:50:00	2015-09-23 14:00:00	312.52	6.992	-5.235	1.153	31.73	485.3
2015-09-23 18:15:00	2015-09-23 18:25:00	303.233	4.085	-5.86	1.472	50.68	541.383
2015-09-23 19:15:00	2015-09-23 19:25:00	299.633	2.123	-7.79	1.68	69.808	528.367
2015-09-23 19:45:00	2015-09-23 19:55:00	299.504	0.507	-8.317	1.915	81.042	521.217
2015-09-23 23:15:00	2015-09-23 23:25:00	301.678	-0.2	-6.385	2.04	85.247	476.033
2015-09-24 09:20:00	2015-09-24 09:30:00	291.772	5.753	-2.825	-0.457	22.353	456.967
2015-09-24 11:50:00	2015-09-24 12:00:00	281.321	4.693	-4.162	-1.612	39.932	464.4
2015-09-24 12:45:00	2015-09-24 12:55:00	295.484	4.632	-3.662	-0.307	34.819	458.1
2015-09-24 13:25:00	2015-09-24 13:35:00	295.804	5.168	-3.492	-0.312	28.855	451.117
2015-09-24 15:20:00	2015-09-24 15:30:00	284.137	1.577	-5.51	-1.225	69.931	470.0
2015-09-24 21:00:00	2015-09-24 21:10:00	277.975	2.157	-6.353	-0.733	66.16	465.483
2015-09-24 21:30:00	2015-09-24 21:40:00	277.203	2.523	-6.133	-0.762	62.596	463.95
2015-09-24 22:00:00	2015-09-24 22:10:00	272.128	2.033	-6.302	-1.317	67.646	468.983
2015-09-25 16:55:00	2015-09-25 17:05:00	306.01	-0.563	-5.593	1.317	89.298	479.083
2015-09-25 19:25:00	2015-09-25 19:35:00	291.813	2.915	-3.37	0.307	42.827	459.433
2015-09-25 20:00:00	2015-09-25 20:10:00	264.387	4.507	-1.922	-0.758	21.307	451.4
2015-09-25 20:45:00	2015-09-25 20:55:00	312.615	3.667	-2.982	1.583	35.854	451.967
2015-09-25 21:15:00	2015-09-25 21:25:00	283.434	2.403	-4.217	-0.123	54.604	455.467
2015-09-25 21:45:00	2015-09-25 21:55:00	273.959	2.422	-4.248	-0.75	55.516	453.217
2015-09-25 22:25:00	2015-09-25 22:35:00	278.39	1.142	-5.047	-0.535	71.478	469.467
2015-09-25 22:55:00	2015-09-25 23:05:00	280.364	1.877	-5.288	-0.22	65.009	463.2
2015-09-26 06:10:00	2015-09-26 06:20:00	313.987	1.197	-3.258	1.012	64.436	447.4
2015-09-26 08:50:00	2015-09-26 09:00:00	299.096	3.383	-3.465	-0.213	40.027	434.35
2015-09-26 09:20:00	2015-09-26 09:30:00	303.85	4.198	-2.563	0.073	25.328	428.3
2015-09-26 22:50:00	2015-09-26 23:00:00	276.998	2.383	-3.22	-0.41	47.312	404.233
2015-09-27 09:25:00	2015-09-27 09:35:00	298.781	3.287	-2.728	-0.193	33.368	409.467
2015-09-27 09:55:00	2015-09-27 10:05:00	297.627	1.502	-4.4	-0.477	64.469	418.883
2015-09-27 10:50:00	2015-09-27 11:00:00	300.718	1.888	-4.638	-0.16	61.422	416.5
2015-09-27 11:35:00	2015-09-27 11:45:00	289.33	0.535	-4.763	-1.085	77.22	428.883
2015-09-27 12:50:00	2015-09-27 13:00:00	311.558	1.238	-3.837	0.66	66.349	414.333
2015-09-27 14:30:00	2015-09-27 14:40:00	313.143	0.402	-4.033	1.025	77.5	416.9
2015-09-27 15:00:00	2015-09-27 15:10:00	311.79	0.785	-4.885	1.267	73.53	412.667
2015-09-27 16:10:00	2015-09-27 16:20:00	277.726	1.475	-4.323	-1.315	66.604	406.05
2015-09-27 16:40:00	2015-09-27 16:50:00	290.767	0.797	-4.385	-0.173	72.315	409.25
2015-09-27 18:50:00	2015-09-27 19:00:00	311.216	-0.257	-4.397	1.862	85.215	408.367
2015-09-27 19:35:00	2015-09-27 19:45:00	268.498	1.265	-4.893	-1.598	70.758	398.383
2015-09-27 20:30:00	2015-09-27 20:40:00	302.934	0.608	-4.232	1.335	74.264	403.883
2015-09-28 07:10:00	2015-09-28 07:20:00	302.778	1.248	-4.71	0.315	67.554	375.083
2015-09-28 07:40:00	2015-09-28 07:50:00	300.782	0.447	-5.088	0.042	77.352	380.333
2015-09-28 08:10:00	2015-09-28 08:20:00	307.064	0.753	-5.017	0.523	73.58	375.35
2015-09-28 09:10:00	2015-09-28 09:20:00	292.248	0.968	-4.912	-0.827	72.043	374.467
2015-09-28 09:40:00	2015-09-28 09:50:00	302.022	1.412	-5.065	-0.06	66.664	370.233
2015-09-28 10:10:00	2015-09-28 10:20:00	286.018	1.238	-4.57	-1.382	69.29	371.1
2015-09-28 10:40:00	2015-09-28 10:50:00	281.014	1.535	-4.505	-1.823	66.545	369.2
2015-09-28 11:10:00	2015-09-28 11:20:00	293.993	1.705	-4.597	-0.712	62.876	366.967
2015-09-28 11:50:00	2015-09-28 12:00:00	298.852	1.113	-4.813	-0.313	69.521	370.767
2015-09-28 14:15:00	2015-09-28 14:25:00	275.997	3.24	-3.895	-1.662	46.974	358.15
2015-09-28 14:45:00	2015-09-28 14:55:00	280.374	2.48	-4.445	-1.41	55.637	360.633
2015-09-28 15:15:00	2015-09-28 15:25:00	270.313	3.037	-3.893	-1.953	49.713	356.483
2015-09-29 09:40:00	2015-09-29 09:50:00	274.697	3.182	-1.998	-1.097	30.746	348.333
2015-09-29 14:25:00	2015-09-29 14:35:00	277.777	2.188	-3.37	-1.303	52.455	344.783
2015-09-29 19:55:00	2015-09-29 20:05:00	309.203	0.92	-3.573	1.592	66.675	341.4
2015-09-29 20:25:00	2015-09-29 20:35:00	308.467	0.553	-4.035	1.728	73.43	340.133
2015-09-29 21:50:00	2015-09-29 22:00:00	285.122	2.097	-3.66	0.093	51.44	336.85
2015-09-30 06:55:00	2015-09-30 07:05:00	279.588	3.468	-2.285	-0.803	27.578	318.183
2015-09-30 07:25:00	2015-09-30 07:35:00	290.069	3.252	-2.368	-0.41	29.4	315.8
2015-09-30 08:00:00	2015-09-30 08:10:00	299.909	3.008	-2.73	-0.03	35.025	316.117
2015-09-30 08:35:00	2015-09-30 08:45:00	295.421	2.663	-2.673	-0.31	37.691	314.383
2015-10-03 18:30:00	2015-10-03 18:40:00	240.395	-1.997	-4.765	-5.293	78.091	400.45
2015-10-16 19:55:00	2015-10-16 20:05:00	301.567	2.947	-1.847	0.607	35.742	375.817
2015-10-16 20:25:00	2015-10-16 20:35:00	280.614	2.798	-1.957	-0.098	36.294	373.733
2015-10-17 09:45:00	2015-10-17 09:55:00	237.422	0.437	-2.227	-4.557	83.522	349.717
2015-10-17 10:40:00	2015-10-17 10:50:00	255.611	2.57	-4.367	-4.505	66.935	349.933
2015-10-17 11:20:00	2015-10-17 11:30:00	275.738	3.402	-5.658	-2.692	61.544	346.967
2015-10-17 11:50:00	2015-10-17 12:00:00	267.914	3.783	-5.377	-3.49	59.14	346.35
2015-10-18 05:05:00	2015-10-18 05:15:00	235.56	4.928	-5.142	-7.992	61.798	378.533
2015-10-19 16:05:00	2015-10-19 16:15:00	237.619	-3.175	-1.387	-2.072	38.608	372.5
2015-10-20 20:10:00	2015-10-20 20:20:00	272.333	3.482	-3.073	-0.517	44.712	372.467
2015-10-21 02:55:00	2015-10-21 03:05:00	242.49	3.258	-1.938	-1.812	39.922	348.383
2015-10-21 04:05:00	2015-10-21 04:15:00	278.719	2.377	-3.463	-0.663	58.142	349.4
2015-10-22 03:50:00	2015-10-22 04:00:00	278.361	2.292	-2.535	-0.478	53.485	429.867
2015-10-22 07:30:00	2015-10-22 07:40:00	276.326	4.923	-1.42	-0.497	20.125	402.017
2015-10-22 18:25:00	2015-10-22 18:35:00	267.499	1.48	-4.988	-1.707	77.399	398.833
2015-10-22 20:05:00	2015-10-22 20:15:00	233.316	2.558	-2.828	-3.665	61.85	396.017
2015-10-23 03:30:00	2015-10-23 03:40:00	311.835	3.013	-5.163	2.392	67.499	452.333
2015-10-23 07:55:00	2015-10-23 08:05:00	292.126	4.218	-3.87	-0.428	47.416	443.683
2015-10-23 08:25:00	2015-10-23 08:35:00	300.085	4.443	-3.472	0.062	42.965	437.467
2015-10-23 12:25:00	2015-10-23 12:35:00	257.355	4.588	-2.953	-2.68	43.902	439.783
2015-10-23 12:55:00	2015-10-23 13:05:00	249.634	3.172	-3.28	-3.765	59.649	449.617
2015-10-23 13:25:00	2015-10-23 13:35:00	256.038	4.45	-3.155	-2.832	46.214	436.867
2015-10-23 13:55:00	2015-10-23 14:05:00	275.322	4.682	-3.807	-1.508	45.134	433.85
2015-10-23 14:35:00	2015-10-23 14:45:00	229.131	5.13	-1.358	-3.083	33.796	434.25
2015-10-23 15:10:00	2015-10-23 15:20:00	254.948	4.467	-3.025	-2.463	44.155	441.217
2015-10-23 16:00:00	2015-10-23 16:10:00	294.805	4.255	-4.168	0.092	49.885	444.067
2015-10-23 17:10:00	2015-10-23 17:20:00	265.186	4.83	-3.38	-1.582	41.699	437.383
2015-10-24 03:00:00	2015-10-24 03:10:00	304.883	1.943	-4.213	1.412	72.346	464.167
2015-10-24 06:25:00	2015-10-24 06:35:00	282.487	3.967	-4.517	-1.002	54.117	436.9
2015-10-24 07:40:00	2015-10-24 07:50:00	312.905	5.723	-2.357	0.688	28.662	419.983
2015-10-24 08:10:00	2015-10-24 08:20:00	290.654	5.723	-2.225	-0.312	26.252	419.633
2015-10-24 10:05:00	2015-10-24 10:15:00	304.604	2.3	-4.183	0.473	66.544	433.567
2015-10-24 10:35:00	2015-10-24 10:45:00	314.554	2.335	-4.848	1.245	70.547	432.083
2015-10-24 12:35:00	2015-10-24 12:45:00	307.56	3.123	-3.627	0.557	54.996	419.883
2015-10-24 13:25:00	2015-10-24 13:35:00	296.576	2.23	-4.138	0.035	66.087	419.117
2015-10-24 17:05:00	2015-10-24 17:15:00	296.222	-2.112	-4.42	0.527	59.826	432.283
2015-10-24 17:55:00	2015-10-24 18:05:00	257.476	2.325	-3.063	-1.758	61.05	409.117
2015-10-24 18:35:00	2015-10-24 18:45:00	236.0	3.792	-2.448	-2.892	46.834	400.933
2015-10-25 07:25:00	2015-10-25 07:35:00	262.814	3.832	-3.65	-2.558	52.703	439.8
2015-10-25 10:55:00	2015-10-25 11:05:00	283.934	-3.677	-6.11	-1.78	55.459	449.533
2015-10-28 13:10:00	2015-10-28 13:20:00	306.243	-1.813	-2.253	0.375	47.193	308.0
2015-10-28 15:30:00	2015-10-28 15:40:00	278.333	1.06	-2.857	-0.702	73.866	308.233
2015-10-28 16:00:00	2015-10-28 16:10:00	259.934	1.31	-2.597	-1.573	69.298	308.0
2015-10-28 19:15:00	2015-10-28 19:25:00	311.676	1.76	-2.405	1.305	61.974	312.267
2015-11-02 06:30:00	2015-11-02 06:40:00	274.385	-2.558	-3.637	-1.257	52.1	333.583
2015-11-02 07:30:00	2015-11-02 07:40:00	260.589	-0.468	-3.78	-2.645	80.582	324.117
2015-11-02 11:00:00	2015-11-02 11:10:00	272.194	-2.092	-3.675	-1.797	58.393	329.683
2015-11-02 11:30:00	2015-11-02 11:40:00	276.818	-1.535	-3.877	-1.508	65.225	329.683
2015-11-02 16:05:00	2015-11-02 16:15:00	288.607	3.945	-3.867	-0.032	50.439	318.05
2015-11-02 17:20:00	2015-11-02 17:30:00	308.231	3.862	-3.973	1.697	54.335	316.0
2015-11-02 17:50:00	2015-11-02 18:00:00	311.44	2.807	-4.46	2.195	66.596	319.45
2015-11-05 01:00:00	2015-11-05 01:10:00	260.896	-4.057	-3.87	-1.29	53.908	561.05
2015-11-05 01:55:00	2015-11-05 02:05:00	285.403	-3.25	-3.622	0.22	56.71	564.25
2015-11-05 04:00:00	2015-11-05 04:10:00	296.375	-4.372	-2.29	0.472	37.089	547.9
2015-11-05 13:00:00	2015-11-05 13:10:00	247.708	-2.512	-2.678	-2.988	65.43	543.267
2015-11-05 13:30:00	2015-11-05 13:40:00	233.605	-2.387	-2.018	-3.693	65.735	543.283
2015-11-13 10:15:00	2015-11-13 10:25:00	239.348	-1.548	-2.855	-4.205	80.469	390.183
2015-11-13 12:35:00	2015-11-13 12:45:00	253.348	-0.418	-6.607	-5.633	80.936	407.6
2015-11-17 23:35:00	2015-11-17 23:45:00	279.533	4.087	-4.233	0.418	36.054	366.55
2015-11-18 00:05:00	2015-11-18 00:15:00	304.736	4.635	-3.437	2.012	33.728	369.133
2015-11-18 00:35:00	2015-11-18 00:45:00	300.176	4.728	-3.798	1.803	33.687	369.467
2015-11-18 01:05:00	2015-11-18 01:15:00	291.925	4.918	-4.27	1.27	33.284	370.617
2015-11-18 01:35:00	2015-11-18 01:45:00	274.826	4.922	-4.33	-0.08	31.248	369.5
2015-11-18 02:05:00	2015-11-18 02:15:00	225.774	3.803	-3.292	-4.192	47.202	363.55
2015-11-18 03:45:00	2015-11-18 03:55:00	308.077	4.455	-3.897	1.998	36.846	367.05
2015-11-18 04:40:00	2015-11-18 04:50:00	304.113	3.775	-4.138	1.588	41.093	367.967
2015-11-18 16:15:00	2015-11-18 16:25:00	286.865	0.627	-4.172	0.207	72.122	403.683
2015-11-18 16:45:00	2015-11-18 16:55:00	306.259	-4.113	-4.93	2.05	60.624	426.95
2015-11-18 23:35:00	2015-11-18 23:45:00	275.075	4.345	-6.792	-0.015	49.19	466.7
2015-11-20 01:35:00	2015-11-20 01:45:00	292.646	1.222	-5.1	1.58	68.558	395.767
2015-11-20 03:25:00	2015-11-20 03:35:00	302.647	-1.805	-4.308	1.803	76.851	398.8
2015-11-20 10:00:00	2015-11-20 10:10:00	299.253	2.395	-5.773	0.647	59.098	380.717
2015-11-20 10:30:00	2015-11-20 10:40:00	313.086	-0.883	-5.94	2.138	89.34	381.583
2015-11-20 11:10:00	2015-11-20 11:20:00	299.661	2.205	-5.715	0.695	60.115	380.317
2015-11-20 12:10:00	2015-11-20 12:20:00	313.679	0.548	-5.805	2.285	76.848	392.0
2015-11-20 13:10:00	2015-11-20 13:20:00	314.803	0.863	-5.55	2.488	73.854	375.783
2015-11-21 01:25:00	2015-11-21 01:35:00	239.32	3.235	-4.535	-3.253	50.94	407.383
2015-11-21 05:55:00	2015-11-21 06:05:00	297.609	0.767	-4.532	0.895	71.898	393.1
2015-11-21 06:30:00	2015-11-21 06:40:00	284.699	1.55	-4.498	-0.225	61.413	389.05
2015-11-21 07:00:00	2015-11-21 07:10:00	286.755	0.972	-4.055	-0.232	69.668	393.3
2015-11-21 07:40:00	2015-11-21 07:50:00	268.668	2.745	-2.548	-0.853	37.535	381.217
2015-11-21 09:30:00	2015-11-21 09:40:00	306.125	-1.532	-4.545	1.053	80.863	398.4
2015-11-21 10:55:00	2015-11-21 11:05:00	311.837	-2.77	-4.295	1.463	67.038	399.95
2015-11-21 11:45:00	2015-11-21 11:55:00	284.83	-1.087	-4.923	-0.643	87.777	387.967
2015-11-21 12:15:00	2015-11-21 12:25:00	286.528	-2.183	-4.633	-0.42	74.703	393.433
2015-11-21 12:45:00	2015-11-21 12:55:00	279.379	-2.223	-4.613	-0.948	74.571	396.417
2015-11-21 13:15:00	2015-11-21 13:25:00	276.915	-1.623	-4.76	-1.132	81.688	391.617
2015-11-21 14:45:00	2015-11-21 14:55:00	295.509	-0.537	-4.698	0.693	87.093	376.4
2015-11-21 15:15:00	2015-11-21 15:25:00	314.438	-0.965	-4.218	2.287	86.183	378.1
2015-11-21 16:00:00	2015-11-21 16:10:00	289.755	0.267	-4.778	0.472	77.243	371.783
2015-11-21 16:30:00	2015-11-21 16:40:00	301.583	-1.512	-4.482	1.513	80.945	380.383
2015-11-21 23:55:00	2015-11-22 00:05:00	298.486	2.877	-3.872	1.87	48.524	339.1
2015-11-22 04:25:00	2015-11-22 04:35:00	284.379	-1.327	-4.398	0.19	83.481	351.5
2015-11-22 05:25:00	2015-11-22 05:35:00	227.617	1.635	-1.868	-2.888	57.296	348.15
2015-11-22 06:25:00	2015-11-22 06:35:00	298.356	-1.178	-3.605	0.702	81.888	354.2
2015-11-22 08:20:00	2015-11-22 08:30:00	297.209	0.05	-3.917	0.417	79.112	342.517
2015-11-22 08:50:00	2015-11-22 09:00:00	298.702	-0.937	-3.898	0.467	86.575	345.583
2015-11-22 09:40:00	2015-11-22 09:50:00	312.842	-1.882	-2.992	1.113	68.582	348.467
2015-11-22 10:10:00	2015-11-22 10:20:00	286.883	-2.308	-2.925	-0.288	62.731	349.067
2015-11-22 10:55:00	2015-11-22 11:05:00	291.266	-0.167	-3.835	-0.118	82.229	341.883
2015-11-22 12:20:00	2015-11-22 12:30:00	278.942	-0.495	-3.708	-0.8	86.798	342.233
2015-11-22 12:50:00	2015-11-22 13:00:00	290.201	-0.638	-3.95	-0.033	88.717	342.967
2015-11-22 13:20:00	2015-11-22 13:30:00	264.613	-0.672	-3.582	-1.68	89.098	342.717
2015-11-22 16:10:00	2015-11-22 16:20:00	251.435	-0.237	-3.398	-2.12	83.06	338.7
2015-11-23 03:25:00	2015-11-23 03:35:00	234.092	-0.125	-2.467	-2.44	82.816	341.067
2015-11-23 04:20:00	2015-11-23 04:30:00	240.107	-0.35	-2.575	-2.24	86.367	342.283
2015-11-23 12:10:00	2015-11-23 12:20:00	298.083	1.992	-3.287	0.395	66.941	328.617
2015-11-23 13:45:00	2015-11-23 13:55:00	254.235	0.088	-2.342	-1.587	85.754	333.033
2015-11-23 16:10:00	2015-11-23 16:20:00	312.748	2.73	-1.85	1.055	45.115	324.733
2015-11-24 08:45:00	2015-11-24 08:55:00	259.786	3.162	-1.852	-1.128	40.275	298.867
2015-11-24 09:15:00	2015-11-24 09:25:00	249.228	3.428	-1.182	-1.035	30.018	297.967
2015-11-24 09:45:00	2015-11-24 09:55:00	253.081	3.54	-1.223	-0.977	29.456	299.367
2015-11-24 10:15:00	2015-11-24 10:25:00	258.965	3.408	-1.513	-0.965	33.814	296.917
2015-11-24 10:45:00	2015-11-24 10:55:00	268.539	3.29	-1.77	-0.753	36.686	295.517
2015-11-24 11:15:00	2015-11-24 11:25:00	240.969	3.375	-1.183	-1.455	33.626	294.217
2015-11-24 12:00:00	2015-11-24 12:10:00	278.425	3.435	-1.677	-0.347	33.253	294.8
2015-11-24 12:40:00	2015-11-24 12:50:00	272.674	3.142	-1.958	-0.577	39.878	294.333
2015-11-24 13:10:00	2015-11-24 13:20:00	240.251	3.632	-1.027	-1.227	28.743	291.55
