Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	Jx_avg(uA/m2)	Jy_avg	Jz_avg	Jmag_avg	divB_avg	Jx_med(uA/m2)	Jy_med	Jz_med	Jmag_med	divB_med	Jx_std(uA/m2)	Jy_std	Jz_std	Jmag_std	divB_std	mms1Bx_avg(nT)	mms1By_avg	mms1Bz_avg	mms1Bmag_avg	mms1Bx_med(nT)	mms1By_med	mms1Bz_med	mms1Bmag_med	mms1Bx_std(nT)	mms1By_std	mms1Bz_std	mms1Bmag_std
2015-09-02 15:30:00	2015-09-02 15:40:00	11.906298313365012	2.282366277716851	10.47482927375298	-5.179426367871041	324.618	4.805	-1.863	2.575	0.0078132793457026	0.0049289052974996	0.0157632983175741	0.122186245082809	0.0017078821731188	0.0114564177097574	0.0113172032709051	0.0570367647755831	0.1060426219589266	0.0029742666608777	0.048109870703991	0.0557244784621071	0.1054687028750136	0.044133535697299	0.0243785465854066	9.323837	11.946863	31.91246	37.585102	9.4009905	11.962101	32.03607	38.33411	7.9656734	9.352578	5.0334578	3.4183052
2015-09-19 13:50:00	2015-09-19 14:00:00	11.943382627878528	5.166521957931533	9.14581033992038	-5.683645981133175	315.17	4.153	-5.405	5.41	-0.0015566085400603	-0.0031760203796038	-0.0086144796014757	0.1210700659080742	0.0068274466298764	0.0069154626890371	-0.0185128751714834	-0.0531017852779098	0.1093544090950263	0.0073621802512924	0.0299697791132864	0.0681007482513069	0.1029210798106342	0.0394639934280787	0.0190537561627182	8.764767	23.478983	38.812634	46.9817	8.874386	24.306025	38.149117	46.78528	5.778036	5.554205	4.029462	2.7740853
2015-09-19 14:45:00	2015-09-19 14:55:00	11.996591156770736	4.734862172730438	9.519717205212372	-5.556281977630623	338.393	3.282	-2.29	5.785	0.0057147792728772	0.0126288678343111	0.0242073765684402	0.1065018034822706	0.0023467942640348	0.0090749303214736	0.0326305409432682	0.0668874744794664	0.0933427981640656	0.0013903718639031	0.0260659618383142	0.0554367302727449	0.0909703360360089	0.0382593440698896	0.014937053569613	8.288694	17.845266	33.389694	39.28189	8.2531185	18.079136	33.67663	39.195526	3.7255766	4.793987	2.4882996	1.4192468
2015-09-19 15:15:00	2015-09-19 15:25:00	11.985518154194343	4.479827840380594	9.69713965523851	-5.435729517832951	344.787	3.472	-1.573	5.768	0.0013697140085022	0.0017550377440112	0.0034392909018963	0.0982300428961025	-0.0023016369222179	0.0062152650257938	0.0283432646584843	0.0534206835574894	0.0949865926107999	-0.0010623223206819	0.0199325163806619	0.0485899496684741	0.0853569477484604	0.0202913926448956	0.0153516573586115	6.606658	19.466932	33.184803	39.226376	6.470574	19.090868	33.368984	38.88814	2.5934315	2.9120486	2.0691392	2.1491404
2015-09-22 12:05:00	2015-09-22 12:15:00	11.668803927077574	6.200321810081996	8.192085091725234	-5.532200923075294	322.172	2.675	-3.022	3.913	-0.0137648951464163	-0.0284640513679525	-0.0400704376709748	0.111092825913446	0.0011902019651279	-0.0157565227652668	-0.043238769077134	-0.0684469740976323	0.1052252308892104	0.001940742143969	0.0317139653603892	0.0491045325027402	0.0865551337644462	0.0342420860426367	0.017834466254994	12.783472	17.824852	39.473152	46.101818	13.045316	16.596287	39.89799	46.305584	5.5749574	6.9950175	3.5946357	2.612747
2015-09-23 12:50:00	2015-09-23 13:00:00	11.860942155974987	6.0515137348875685	8.503118960449935	-5.635294244921738	327.28	8.127	-2.137	3.347	-0.0110820445002198	-0.0006854251446248	-0.0171068495209122	0.1048096912188981	0.0016325472285878	-0.021677352567994	-0.0020639191309095	-0.0533177848159549	0.0882380455275876	0.0005652144979619	0.0595195451780781	0.0281535212555261	0.0907689982488299	0.0447779243093161	0.0147170883574987	25.883196	4.352823	42.980434	50.844715	25.912752	4.6805778	43.34997	50.68258	3.0646741	5.6635737	3.6852944	2.4634764
2015-09-23 13:20:00	2015-09-23 13:30:00	11.933658494713988	5.850492866926653	8.72817115913456	-5.656970954293648	324.373	7.352	-2.983	4.203	-0.0110956775356129	-0.0168512002744023	-0.0272602933083079	0.1330258098975806	-0.0006286292564225	-0.0259607309912301	-0.0132702391066195	-0.074260999125136	0.1209327417229315	-0.0005282249169367	0.0660387503581144	0.0459177277288288	0.1132940488890325	0.0525302796996241	0.0145745433645593	24.204256	3.6177223	41.32351	49.649384	26.61865	0.61253595	41.563473	50.01195	8.015109	9.646375	3.3922713	3.210493
2015-09-23 14:20:00	2015-09-23 14:30:00	11.993631489263755	5.39803574326405	9.142311159406017	-5.578948727003479	343.448	3.487	-2.218	7.592	0.0019114758013387	-0.001453310046916	0.005312594683893	0.0930446084294036	0.0003611533459311	0.0032059763811299	-0.0041938580464387	0.0158206493137413	0.0891111934564982	0.0009369287312611	0.0486434334292831	0.0237399326959688	0.0775182789371774	0.0177635003280918	0.0062414188485428	25.085016	5.832861	44.441685	51.564846	25.2173	6.1496835	44.63572	51.485283	2.4186845	3.6902444	1.6699159	1.291021
2015-09-26 12:40:00	2015-09-26 12:50:00	11.88930195464683	6.467740602498485	8.275408197911181	-5.571348566155302	323.167	1.228	-2.79	3.755	-0.0273138868822716	-0.01965993429393	-0.0688446822186771	0.1152065453368486	0.0027300331615429	-0.0277967903821082	-0.0264788799367136	-0.0897969364724071	0.1029759411752202	0.0027812248118117	0.0376032732191017	0.0416720932266813	0.0793104287028224	0.0451698707780701	0.0127589629107358	11.748998	13.934609	34.07607	39.626137	11.913615	12.470085	34.603092	40.116863	5.7027783	6.455649	2.6905394	2.1438217
2015-09-26 13:10:00	2015-09-26 13:20:00	11.952077657614026	6.269847549876364	8.495254177781797	-5.600912361213756	320.228	0.248	-2.995	3.615	-0.0004564312854244	0.0057574327821148	0.0029135732995398	0.0933825597173205	-6.946565200470248e-05	0.0010819154364438	0.0277860694748543	0.0335502171703726	0.0899622993945809	0.0025956126142039	0.0190936838383371	0.0582204131736642	0.0722639695461847	0.017257154428648	0.0149167842178421	4.079098	22.880035	30.724083	38.77623	4.26773	23.5153	30.446747	38.726124	3.12046	2.836597	1.955562	1.4547902
